second,Volt
-686.0000E-06,-944.3545755E-03
-685.3000E-06,-943.2270612E-03
-684.6000E-06,-941.5530644E-03
-683.9000E-06,-939.1221545E-03
-683.2000E-06,-935.7176453E-03
-682.5000E-06,-933.3778048E-03
-681.8000E-06,-930.2842112E-03
-681.1000E-06,-928.4249187E-03
-680.4000E-06,-926.7823393E-03
-679.7000E-06,-926.1070704E-03
-679.0000E-06,-925.2119779E-03
-678.3000E-06,-924.5681328E-03
-677.6000E-06,-923.1579515E-03
-676.9000E-06,-921.5530557E-03
-676.2000E-06,-919.2603413E-03
-675.5000E-06,-916.1039195E-03
-674.8000E-06,-912.5454769E-03
-674.1000E-06,-910.1522829E-03
-673.4000E-06,-907.9035475E-03
-672.7000E-06,-906.7195185E-03
-672.0000E-06,-905.4726515E-03
-671.3000E-06,-904.7722778E-03
-670.6000E-06,-904.1158582E-03
-669.9000E-06,-902.2754259E-03
-669.2000E-06,-900.2056499E-03
-668.5000E-06,-896.7100356E-03
-667.8000E-06,-893.7452371E-03
-667.1000E-06,-890.2025366E-03
-666.4000E-06,-888.0354099E-03
-665.7000E-06,-886.0850932E-03
-665.0000E-06,-885.0895006E-03
-664.3000E-06,-884.2100758E-03
-663.6000E-06,-882.9914877E-03
-662.9000E-06,-880.9123059E-03
-662.2000E-06,-878.0573379E-03
-661.5000E-06,-873.9870076E-03
-660.8000E-06,-870.2276468E-03
-660.1000E-06,-868.2458814E-03
-659.4000E-06,-866.0630783E-03
-658.7000E-06,-864.6215152E-03
-658.0000E-06,-863.6069892E-03
-657.3000E-06,-861.4838931E-03
-656.6000E-06,-858.8676778E-03
-655.9000E-06,-854.4360821E-03
-655.2000E-06,-850.7081182E-03
-654.5000E-06,-848.3275504E-03
-653.8000E-06,-846.1918065E-03
-653.1000E-06,-845.1585798E-03
-652.4000E-06,-844.0561671E-03
-651.7000E-06,-842.8564348E-03
-651.0000E-06,-840.5071175E-03
-650.3000E-06,-836.2795937E-03
-649.6000E-06,-832.6270336E-03
-648.9000E-06,-829.5428599E-03
-648.2000E-06,-827.0555150E-03
-647.5000E-06,-825.2590507E-03
-646.8000E-06,-823.8708885E-03
-646.1000E-06,-821.9235617E-03
-645.4000E-06,-819.0654380E-03
-644.7000E-06,-814.9636967E-03
-644.0000E-06,-810.8587943E-03
-643.3000E-06,-807.5705821E-03
-642.6000E-06,-805.6673473E-03
-641.9000E-06,-804.1692200E-03
-641.2000E-06,-802.2847408E-03
-640.5000E-06,-799.8507624E-03
-639.8000E-06,-795.7488639E-03
-639.1000E-06,-791.2325178E-03
-638.4000E-06,-787.7527705E-03
-637.7000E-06,-785.5636752E-03
-637.0000E-06,-784.2415240E-03
-636.3000E-06,-782.8971910E-03
-635.6000E-06,-779.9480312E-03
-634.9000E-06,-775.3374254E-03
-634.2000E-06,-770.7488032E-03
-633.5000E-06,-767.2658517E-03
-632.8000E-06,-765.4569509E-03
-632.1000E-06,-764.1786439E-03
-631.4000E-06,-762.7119210E-03
-630.7000E-06,-759.8852179E-03
-630.0000E-06,-755.9277618E-03
-629.3000E-06,-750.9466873E-03
-628.6000E-06,-747.6678045E-03
-627.9000E-06,-745.2873519E-03
-627.2000E-06,-743.9241836E-03
-626.5000E-06,-741.4021676E-03
-625.8000E-06,-738.1326033E-03
-625.1000E-06,-733.0038166E-03
-624.4000E-06,-728.5974528E-03
