t,V_in,V_out
-50.00000E+00,-1.18593E+00,-603.02E-03
-49.97500E+00,-1.18995E+00,-582.91E-03
-49.95000E+00,-1.18593E+00,-590.95E-03
-49.92500E+00,-1.18593E+00,-582.91E-03
-49.90000E+00,-1.18593E+00,-582.91E-03
-49.87500E+00,-1.18593E+00,-582.91E-03
-49.85000E+00,-1.18593E+00,-582.91E-03
-49.82500E+00,-1.18593E+00,-582.91E-03
-49.80000E+00,-1.18593E+00,-574.87E-03
-49.77500E+00,-1.18593E+00,-566.83E-03
-49.75000E+00,-1.18593E+00,-582.91E-03
-49.72500E+00,-1.18593E+00,-582.91E-03
-49.70000E+00,-1.18593E+00,-582.91E-03
-49.67500E+00,-1.18593E+00,-582.91E-03
-49.65000E+00,-1.18593E+00,-582.91E-03
-49.62500E+00,-1.16583E+00,-582.91E-03
-49.60000E+00,-1.16583E+00,-578.89E-03
-49.57500E+00,-1.16583E+00,-574.87E-03
-49.55000E+00,-1.16583E+00,-582.91E-03
-49.52500E+00,-1.16583E+00,-582.91E-03
-49.50000E+00,-1.16583E+00,-582.91E-03
-49.47500E+00,-1.16583E+00,-566.83E-03
-49.45000E+00,-1.16181E+00,-582.91E-03
-49.42500E+00,-1.16583E+00,-562.81E-03
-49.40000E+00,-1.16583E+00,-562.81E-03
-49.37500E+00,-1.14573E+00,-562.81E-03
-49.35000E+00,-1.14975E+00,-562.81E-03
-49.32500E+00,-1.16583E+00,-562.81E-03
-49.30000E+00,-1.15377E+00,-562.81E-03
-49.27500E+00,-1.14975E+00,-562.81E-03
-49.25000E+00,-1.14573E+00,-562.81E-03
-49.22500E+00,-1.14573E+00,-546.73E-03
-49.20000E+00,-1.14573E+00,-562.81E-03
-49.17500E+00,-1.14573E+00,-562.81E-03
-49.15000E+00,-1.14573E+00,-562.81E-03
-49.12500E+00,-1.14573E+00,-562.81E-03
-49.10000E+00,-1.14573E+00,-546.73E-03
-49.07500E+00,-1.14573E+00,-554.77E-03
-49.05000E+00,-1.14573E+00,-542.71E-03
-49.02500E+00,-1.14573E+00,-558.79E-03
-49.00000E+00,-1.14573E+00,-542.71E-03
-48.97500E+00,-1.14573E+00,-558.79E-03
-48.95000E+00,-1.13367E+00,-550.75E-03
-48.92500E+00,-1.13367E+00,-542.71E-03
-48.90000E+00,-1.12965E+00,-542.71E-03
-48.87500E+00,-1.12563E+00,-542.71E-03
-48.85000E+00,-1.12563E+00,-542.71E-03
-48.82500E+00,-1.13769E+00,-542.71E-03
-48.80000E+00,-1.12563E+00,-542.71E-03
-48.77500E+00,-1.12965E+00,-542.71E-03
-48.75000E+00,-1.12563E+00,-542.71E-03
-48.72500E+00,-1.12563E+00,-538.69E-03
-48.70000E+00,-1.12563E+00,-534.67E-03
-48.67500E+00,-1.11357E+00,-522.61E-03
-48.65000E+00,-1.10553E+00,-542.71E-03
-48.62500E+00,-1.12563E+00,-542.71E-03
-48.60000E+00,-1.12161E+00,-526.63E-03
-48.57500E+00,-1.11357E+00,-522.61E-03
-48.55000E+00,-1.11759E+00,-522.61E-03
-48.52500E+00,-1.10955E+00,-522.61E-03
-48.50000E+00,-1.10553E+00,-522.61E-03
-48.47500E+00,-1.10553E+00,-522.61E-03
-48.45000E+00,-1.11357E+00,-522.61E-03
-48.42500E+00,-1.10553E+00,-522.61E-03
-48.40000E+00,-1.10553E+00,-522.61E-03
-48.37500E+00,-1.10553E+00,-522.61E-03
-48.35000E+00,-1.10553E+00,-522.61E-03
-48.32500E+00,-1.10553E+00,-510.55E-03
-48.30000E+00,-1.10553E+00,-522.61E-03
-48.27500E+00,-1.10553E+00,-506.53E-03
-48.25000E+00,-1.10553E+00,-502.51E-03
-48.22500E+00,-1.08945E+00,-506.53E-03
-48.20000E+00,-1.09749E+00,-502.51E-03
-48.17500E+00,-1.08543E+00,-510.55E-03
-48.15000E+00,-1.10151E+00,-502.51E-03
-48.12500E+00,-1.10553E+00,-502.51E-03
-48.10000E+00,-1.08543E+00,-518.59E-03
-48.07500E+00,-1.08543E+00,-502.51E-03
-48.05000E+00,-1.08543E+00,-502.51E-03
-48.02500E+00,-1.08543E+00,-502.51E-03
-48.00000E+00,-1.08543E+00,-502.51E-03
-47.97500E+00,-1.08543E+00,-502.51E-03
-47.95000E+00,-1.07337E+00,-502.51E-03
-47.92500E+00,-1.08543E+00,-502.51E-03
-47.90000E+00,-1.08543E+00,-502.51E-03
-47.87500E+00,-1.08543E+00,-502.51E-03
-47.85000E+00,-1.08141E+00,-502.51E-03
-47.82500E+00,-1.06533E+00,-494.47E-03
-47.80000E+00,-1.07739E+00,-490.45E-03
-47.77500E+00,-1.06533E+00,-486.43E-03
-47.75000E+00,-1.08543E+00,-502.51E-03
-47.72500E+00,-1.06533E+00,-486.43E-03
-47.70000E+00,-1.06533E+00,-490.45E-03
-47.67500E+00,-1.06533E+00,-490.45E-03
-47.65000E+00,-1.06533E+00,-482.41E-03
-47.62500E+00,-1.06533E+00,-482.41E-03
-47.60000E+00,-1.06533E+00,-498.49E-03
-47.57500E+00,-1.06533E+00,-490.45E-03
-47.55000E+00,-1.06533E+00,-482.41E-03
-47.52500E+00,-1.06131E+00,-482.41E-03
-47.50000E+00,-1.06533E+00,-482.41E-03
-47.47500E+00,-1.06533E+00,-482.41E-03
-47.45000E+00,-1.05729E+00,-482.41E-03
-47.42500E+00,-1.05729E+00,-482.41E-03
-47.40000E+00,-1.04925E+00,-482.41E-03
-47.37500E+00,-1.04523E+00,-482.41E-03
-47.35000E+00,-1.04523E+00,-482.41E-03
-47.32500E+00,-1.04523E+00,-482.41E-03
-47.30000E+00,-1.04523E+00,-482.41E-03
-47.27500E+00,-1.04523E+00,-482.41E-03
